"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"Sub-Saharan Africa - WB",3,"Full Range",1990,2021,-2.13,-2.54,-1.73,1,-10.187,0,"***","1990~2021
-2.13(-2.54~-1.73)***","1990~2021","-2.13 (-2.54~-1.73)","DALYs","Number"
"Sub-Saharan Africa - WB",3,"1990.000-1999.000",1990,1999,1.54,1.27,1.82,1,11.874,0,"***","1990~1999
1.54(1.27~1.82)***","1990~1999","1.54 (1.27~1.82)","DALYs","Number"
"Sub-Saharan Africa - WB",3,"1999.000-2009.000",1999,2009,-0.71,-1.36,-0.06,1,-2.145,0.032,"*","1999~2009
-0.71(-1.36~-0.06)*","1999~2009","-0.71 (-1.36~-0.06)","DALYs","Number"
"Sub-Saharan Africa - WB",3,"2009.000-2019.000",2009,2019,0.77,0.3,1.24,1,3.403,0.003,"**","2009~2019
0.77(0.30~1.24)**","2009~2019","0.77 (0.30~1.24)","DALYs","Number"
"Sub-Saharan Africa - WB",3,"2019.000-2021.000",2019,2021,-33.33,-36.66,-29.83,1,-16.467,0,"***","2019~2021
-33.33(-36.66~-29.83)***","2019~2021","-33.33 (-36.66~-29.83)","DALYs","Number"
"Sub-Saharan Africa - WB",3,"1990.000-2019.000",1990,2019,0.49,0.2,0.79,1,3.292,0.001,"**","1990~2019
0.49(0.20~0.79)**","1990~2019","0.49 (0.20~0.79)","DALYs","Number"
"East Asia & Pacific - WB",2,"Full Range",1990,2021,-9.04,-9.95,-8.12,1,-18.433,0,"***","1990~2021
-9.04(-9.95~-8.12)***","1990~2021","-9.04 (-9.95~-8.12)","Incidence","Rate"
"East Asia & Pacific - WB",2,"1990.000-1999.000",1990,1999,-4.41,-5.01,-3.81,1,-14.893,0,"***","1990~1999
-4.41(-5.01~-3.81)***","1990~1999","-4.41 (-5.01~-3.81)","Incidence","Rate"
"East Asia & Pacific - WB",2,"1999.000-2009.000",1999,2009,-2.99,-3.44,-2.54,1,-12.877,0,"***","1999~2009
-2.99(-3.44~-2.54)***","1999~2009","-2.99 (-3.44~-2.54)","Incidence","Rate"
"East Asia & Pacific - WB",2,"2009.000-2019.000",2009,2019,-0.82,-1.59,-0.05,1,-2.196,0.038,"*","2009~2019
-0.82(-1.59~-0.05)*","2009~2019","-0.82 (-1.59~-0.05)","Incidence","Rate"
"East Asia & Pacific - WB",2,"2019.000-2021.000",2019,2021,-65.77,-70.48,-60.32,1,-14.959,0,"***","2019~2021
-65.77(-70.48~-60.32)***","2019~2021","-65.77 (-70.48~-60.32)","Incidence","Rate"
"East Asia & Pacific - WB",2,"1990.000-2019.000",1990,2019,-2.69,-3.15,-2.24,1,-11.398,0,"***","1990~2019
-2.69(-3.15~-2.24)***","1990~2019","-2.69 (-3.15~-2.24)","Incidence","Rate"
"Europe & Central Asia - WB",2,"Full Range",1990,2021,-9.79,-10.41,-9.16,1,-29.299,0,"***","1990~2021
-9.79(-10.41~-9.16)***","1990~2021","-9.79 (-10.41~-9.16)","Incidence","Rate"
"Europe & Central Asia - WB",2,"1990.000-1999.000",1990,1999,-6.22,-6.5,-5.94,1,-45.144,0,"***","1990~1999
-6.22(-6.50~-5.94)***","1990~1999","-6.22 (-6.50~-5.94)","Incidence","Rate"
"Europe & Central Asia - WB",2,"1999.000-2009.000",1999,2009,-6.22,-6.5,-5.94,1,-45.144,0,"***","1999~2009
-6.22(-6.50~-5.94)***","1999~2009","-6.22 (-6.50~-5.94)","Incidence","Rate"
"Europe & Central Asia - WB",2,"2009.000-2019.000",2009,2019,3.7,2.77,4.65,1,8.294,0,"***","2009~2019
3.70(2.77~4.65)***","2009~2019","3.70 (2.77~4.65)","Incidence","Rate"
"Europe & Central Asia - WB",2,"2019.000-2021.000",2019,2021,-68.92,-71.85,-65.68,1,-24.329,0,"***","2019~2021
-68.92(-71.85~-65.68)***","2019~2021","-68.92 (-71.85~-65.68)","Incidence","Rate"
"Europe & Central Asia - WB",2,"1990.000-2019.000",1990,2019,-2.91,-3.25,-2.57,1,-16.629,0,"***","1990~2019
-2.91(-3.25~-2.57)***","1990~2019","-2.91 (-3.25~-2.57)","Incidence","Rate"
"High SDI",1,"Full Range",1990,2021,-8.14,-9.86,-6.39,1,-8.821,0,"***","1990~2021
-8.14(-9.86~-6.39)***","1990~2021","-8.14 (-9.86~-6.39)","Incidence","Rate"
"High SDI",1,"1990.000-1999.000",1990,1999,-2.88,-3.33,-2.42,1,-12.784,0,"***","1990~1999
-2.88(-3.33~-2.42)***","1990~1999","-2.88 (-3.33~-2.42)","Incidence","Rate"
"High SDI",1,"1999.000-2009.000",1999,2009,-2.88,-3.33,-2.42,1,-12.784,0,"***","1999~2009
-2.88(-3.33~-2.42)***","1999~2009","-2.88 (-3.33~-2.42)","Incidence","Rate"
"High SDI",1,"2009.000-2019.000",2009,2019,-2.88,-3.33,-2.42,1,-12.784,0,"***","2009~2019
-2.88(-3.33~-2.42)***","2009~2019","-2.88 (-3.33~-2.42)","Incidence","Rate"
"High SDI",1,"2019.000-2021.000",2019,2021,-59.06,-69.62,-44.81,1,-6.138,0,"***","2019~2021
-59.06(-69.62~-44.81)***","2019~2021","-59.06 (-69.62~-44.81)","Incidence","Rate"
"High SDI",1,"1990.000-2019.000",1990,2019,-2.88,-3.33,-2.42,1,-12.784,0,"***","1990~2019
-2.88(-3.33~-2.42)***","1990~2019","-2.88 (-3.33~-2.42)","Incidence","Rate"
"High-middle SDI",2,"Full Range",1990,2021,-8.86,-9.38,-8.33,1,-31.584,0,"***","1990~2021
-8.86(-9.38~-8.33)***","1990~2021","-8.86 (-9.38~-8.33)","Incidence","Rate"
"High-middle SDI",2,"1990.000-1999.000",1990,1999,-6.75,-7.12,-6.38,1,-36.372,0,"***","1990~1999
-6.75(-7.12~-6.38)***","1990~1999","-6.75 (-7.12~-6.38)","Incidence","Rate"
"High-middle SDI",2,"1999.000-2009.000",1999,2009,-3.71,-3.97,-3.45,1,-27.811,0,"***","1999~2009
-3.71(-3.97~-3.45)***","1999~2009","-3.71 (-3.97~-3.45)","Incidence","Rate"
"High-middle SDI",2,"2009.000-2019.000",2009,2019,-0.57,-0.96,-0.17,1,-2.958,0.007,"**","2009~2019
-0.57(-0.96~-0.17)**","2009~2019","-0.57 (-0.96~-0.17)","Incidence","Rate"
"High-middle SDI",2,"2019.000-2021.000",2019,2021,-59.55,-62.83,-55.97,1,-22.071,0,"***","2019~2021
-59.55(-62.83~-55.97)***","2019~2021","-59.55 (-62.83~-55.97)","Incidence","Rate"
"High-middle SDI",2,"1990.000-2019.000",1990,2019,-3.6,-3.86,-3.35,1,-26.98,0,"***","1990~2019
-3.60(-3.86~-3.35)***","1990~2019","-3.60 (-3.86~-3.35)","Incidence","Rate"
"Latin America & Caribbean - WB",5,"Full Range",1990,2021,-6.72,-6.85,-6.58,1,-92.887,0,"***","1990~2021
-6.72(-6.85~-6.58)***","1990~2021","-6.72 (-6.85~-6.58)","Incidence","Rate"
"Latin America & Caribbean - WB",5,"1990.000-1999.000",1990,1999,-5.65,-5.76,-5.54,1,-94.507,0,"***","1990~1999
-5.65(-5.76~-5.54)***","1990~1999","-5.65 (-5.76~-5.54)","Incidence","Rate"
"Latin America & Caribbean - WB",5,"1999.000-2009.000",1999,2009,-4.46,-4.6,-4.33,1,-63.191,0,"***","1999~2009
-4.46(-4.60~-4.33)***","1999~2009","-4.46 (-4.60~-4.33)","Incidence","Rate"
"Latin America & Caribbean - WB",5,"2009.000-2019.000",2009,2019,5.43,5.07,5.79,1,30.082,0,"***","2009~2019
5.43(5.07~5.79)***","2009~2019","5.43 (5.07~5.79)","Incidence","Rate"
"Latin America & Caribbean - WB",5,"2019.000-2021.000",2019,2021,-57.35,-57.83,-56.86,1,-159.553,0,"***","2019~2021
-57.35(-57.83~-56.86)***","2019~2021","-57.35 (-57.83~-56.86)","Incidence","Rate"
"Latin America & Caribbean - WB",5,"1990.000-2019.000",1990,2019,-1.54,-1.68,-1.41,1,-21.895,0,"***","1990~2019
-1.54(-1.68~-1.41)***","1990~2019","-1.54 (-1.68~-1.41)","Incidence","Rate"
"Low SDI",2,"Full Range",1990,2021,-4.52,-5.05,-3.99,1,-16.282,0,"***","1990~2021
-4.52(-5.05~-3.99)***","1990~2021","-4.52 (-5.05~-3.99)","Incidence","Rate"
"Low SDI",2,"1990.000-1999.000",1990,1999,-1.25,-1.73,-0.77,1,-5.357,0,"***","1990~1999
-1.25(-1.73~-0.77)***","1990~1999","-1.25 (-1.73~-0.77)","Incidence","Rate"
"Low SDI",2,"1999.000-2009.000",1999,2009,-2.35,-2.59,-2.1,1,-18.589,0,"***","1999~2009
-2.35(-2.59~-2.10)***","1999~2009","-2.35 (-2.59~-2.10)","Incidence","Rate"
"Low SDI",2,"2009.000-2019.000",2009,2019,-2.81,-3.12,-2.51,1,-18.741,0,"***","2009~2019
-2.81(-3.12~-2.51)***","2009~2019","-2.81 (-3.12~-2.51)","Incidence","Rate"
"Low SDI",2,"2019.000-2021.000",2019,2021,-32.94,-38.22,-27.21,1,-10.064,0,"***","2019~2021
-32.94(-38.22~-27.21)***","2019~2021","-32.94 (-38.22~-27.21)","Incidence","Rate"
"Low SDI",2,"1990.000-2019.000",1990,2019,-2.17,-2.42,-1.92,1,-16.624,0,"***","1990~2019
-2.17(-2.42~-1.92)***","1990~2019","-2.17 (-2.42~-1.92)","Incidence","Rate"
"Low-middle SDI",3,"Full Range",1990,2021,-6.16,-6.46,-5.85,1,-38.637,0,"***","1990~2021
-6.16(-6.46~-5.85)***","1990~2021","-6.16 (-6.46~-5.85)","Incidence","Rate"
"Low-middle SDI",3,"1990.000-1999.000",1990,1999,-4,-4.49,-3.52,1,-15.985,0,"***","1990~1999
-4.00(-4.49~-3.52)***","1990~1999","-4.00 (-4.49~-3.52)","Incidence","Rate"
"Low-middle SDI",3,"1999.000-2009.000",1999,2009,-2.27,-2.53,-2,1,-16.759,0,"***","1999~2009
-2.27(-2.53~-2.00)***","1999~2009","-2.27 (-2.53~-2.00)","Incidence","Rate"
"Low-middle SDI",3,"2009.000-2019.000",2009,2019,-3.23,-3.37,-3.08,1,-45.202,0,"***","2009~2019
-3.23(-3.37~-3.08)***","2009~2019","-3.23 (-3.37~-3.08)","Incidence","Rate"
"Low-middle SDI",3,"2019.000-2021.000",2019,2021,-40.67,-42.96,-38.29,1,-27.589,0,"***","2019~2021
-40.67(-42.96~-38.29)***","2019~2021","-40.67 (-42.96~-38.29)","Incidence","Rate"
"Low-middle SDI",3,"1990.000-2019.000",1990,2019,-3.14,-3.36,-2.92,1,-27.099,0,"***","1990~2019
-3.14(-3.36~-2.92)***","1990~2019","-3.14 (-3.36~-2.92)","Incidence","Rate"
"Middle East & North Africa - WB",3,"Full Range",1990,2021,-5.98,-6.54,-5.41,1,-20.147,0,"***","1990~2021
-5.98(-6.54~-5.41)***","1990~2021","-5.98 (-6.54~-5.41)","Incidence","Rate"
"Middle East & North Africa - WB",3,"1990.000-1999.000",1990,1999,-7.18,-7.89,-6.45,1,-18.771,0,"***","1990~1999
-7.18(-7.89~-6.45)***","1990~1999","-7.18 (-7.89~-6.45)","Incidence","Rate"
"Middle East & North Africa - WB",3,"1999.000-2009.000",1999,2009,-2.4,-2.91,-1.89,1,-9.16,0,"***","1999~2009
-2.40(-2.91~-1.89)***","1999~2009","-2.40 (-2.91~-1.89)","Incidence","Rate"
"Middle East & North Africa - WB",3,"2009.000-2019.000",2009,2019,4.15,3.52,4.79,1,13.877,0,"***","2009~2019
4.15(3.52~4.79)***","2009~2019","4.15 (3.52~4.79)","Incidence","Rate"
"Middle East & North Africa - WB",3,"2019.000-2021.000",2019,2021,-50.43,-54.16,-46.39,1,-18.641,0,"***","2019~2021
-50.43(-54.16~-46.39)***","2019~2021","-50.43 (-54.16~-46.39)","Incidence","Rate"
"Middle East & North Africa - WB",3,"1990.000-2019.000",1990,2019,-1.73,-2.11,-1.35,1,-8.792,0,"***","1990~2019
-1.73(-2.11~-1.35)***","1990~2019","-1.73 (-2.11~-1.35)","Incidence","Rate"
"Middle SDI",5,"Full Range",1990,2021,-6.36,-6.84,-5.89,1,-25.41,0,"***","1990~2021
-6.36(-6.84~-5.89)***","1990~2021","-6.36 (-6.84~-5.89)","Incidence","Rate"
"Middle SDI",5,"1990.000-1999.000",1990,1999,-4.13,-4.37,-3.9,1,-36.496,0,"***","1990~1999
-4.13(-4.37~-3.90)***","1990~1999","-4.13 (-4.37~-3.90)","Incidence","Rate"
"Middle SDI",5,"1999.000-2009.000",1999,2009,-1.32,-2.04,-0.59,1,-3.545,0,"***","1999~2009
-1.32(-2.04~-0.59)***","1999~2009","-1.32 (-2.04~-0.59)","Incidence","Rate"
"Middle SDI",5,"2009.000-2019.000",2009,2019,-0.37,-1.48,0.75,0,-0.653,0.514,"","2009~2019
-0.37(-1.48~0.75)","2009~2019","-0.37 (-1.48~0.75)","Incidence","Rate"
"Middle SDI",5,"2019.000-2021.000",2019,2021,-52.48,-54.19,-50.71,1,-43.36,0,"***","2019~2021
-52.48(-54.19~-50.71)***","2019~2021","-52.48 (-54.19~-50.71)","Incidence","Rate"
"Middle SDI",5,"1990.000-2019.000",1990,2019,-1.88,-2.36,-1.4,1,-7.588,0,"***","1990~2019
-1.88(-2.36~-1.40)***","1990~2019","-1.88 (-2.36~-1.40)","Incidence","Rate"
"South Asia - WB",3,"Full Range",1990,2021,-5.95,-7.59,-4.28,1,-6.819,0,"***","1990~2021
-5.95(-7.59~-4.28)***","1990~2021","-5.95 (-7.59~-4.28)","Incidence","Rate"
"South Asia - WB",3,"1990.000-1999.000",1990,1999,-4.13,-6.94,-1.24,1,-2.779,0.005,"**","1990~1999
-4.13(-6.94~-1.24)**","1990~1999","-4.13 (-6.94~-1.24)","Incidence","Rate"
"South Asia - WB",3,"1999.000-2009.000",1999,2009,-1.68,-3.4,0.06,0,-1.891,0.059,"","1999~2009
-1.68(-3.40~0.06)","1999~2009","-1.68 (-3.40~0.06)","Incidence","Rate"
"South Asia - WB",3,"2009.000-2019.000",2009,2019,-6.82,-8.38,-5.24,1,-8.209,0,"***","2009~2019
-6.82(-8.38~-5.24)***","2009~2019","-6.82 (-8.38~-5.24)","Incidence","Rate"
"South Asia - WB",3,"2019.000-2021.000",2019,2021,-27.59,-36.43,-17.53,1,-5.157,0,"***","2019~2021
-27.59(-36.43~-17.53)***","2019~2021","-27.59 (-36.43~-17.53)","Incidence","Rate"
"South Asia - WB",3,"1990.000-2019.000",1990,2019,-4.24,-5.62,-2.83,1,-5.83,0,"***","1990~2019
-4.24(-5.62~-2.83)***","1990~2019","-4.24 (-5.62~-2.83)","Incidence","Rate"
"Sub-Saharan Africa - WB",2,"Full Range",1990,2021,-3.89,-4.55,-3.23,1,-11.338,0,"***","1990~2021
-3.89(-4.55~-3.23)***","1990~2021","-3.89 (-4.55~-3.23)","Incidence","Rate"
"Sub-Saharan Africa - WB",2,"1990.000-1999.000",1990,1999,-0.58,-1.25,0.1,0,-1.759,0.091,"","1990~1999
-0.58(-1.25~0.10)","1990~1999","-0.58 (-1.25~0.10)","Incidence","Rate"
"Sub-Saharan Africa - WB",2,"1999.000-2009.000",1999,2009,-1.61,-1.9,-1.32,1,-10.712,0,"***","1999~2009
-1.61(-1.90~-1.32)***","1999~2009","-1.61 (-1.90~-1.32)","Incidence","Rate"
"Sub-Saharan Africa - WB",2,"2009.000-2019.000",2009,2019,-1.87,-2.21,-1.52,1,-11.042,0,"***","2009~2019
-1.87(-2.21~-1.52)***","2009~2019","-1.87 (-2.21~-1.52)","Incidence","Rate"
"Sub-Saharan Africa - WB",2,"2019.000-2021.000",2019,2021,-33.9,-40.23,-26.89,1,-8.477,0,"***","2019~2021
-33.90(-40.23~-26.89)***","2019~2021","-33.90 (-40.23~-26.89)","Incidence","Rate"
"Sub-Saharan Africa - WB",2,"1990.000-2019.000",1990,2019,-1.38,-1.7,-1.06,1,-8.49,0,"***","1990~2019
-1.38(-1.70~-1.06)***","1990~2019","-1.38 (-1.70~-1.06)","Incidence","Rate"
"East Asia & Pacific - WB",2,"Full Range",1990,2021,-8.54,-8.96,-8.11,1,-37.738,0,"***","1990~2021
-8.54(-8.96~-8.11)***","1990~2021","-8.54 (-8.96~-8.11)","DALYs","Rate"
"East Asia & Pacific - WB",2,"1990.000-1999.000",1990,1999,-6.34,-6.59,-6.1,1,-51.979,0,"***","1990~1999
-6.34(-6.59~-6.10)***","1990~1999","-6.34 (-6.59~-6.10)","DALYs","Rate"
"East Asia & Pacific - WB",2,"1999.000-2009.000",1999,2009,-5.35,-5.55,-5.16,1,-51.981,0,"***","1999~2009
-5.35(-5.55~-5.16)***","1999~2009","-5.35 (-5.55~-5.16)","DALYs","Rate"
"East Asia & Pacific - WB",2,"2009.000-2019.000",2009,2019,-2.99,-3.38,-2.6,1,-15.626,0,"***","2009~2019
-2.99(-3.38~-2.60)***","2009~2019","-2.99 (-3.38~-2.60)","DALYs","Rate"
"East Asia & Pacific - WB",2,"2019.000-2021.000",2019,2021,-48.37,-51.76,-44.75,1,-20.102,0,"***","2019~2021
-48.37(-51.76~-44.75)***","2019~2021","-48.37 (-51.76~-44.75)","DALYs","Rate"
"East Asia & Pacific - WB",2,"1990.000-2019.000",1990,2019,-4.86,-5.07,-4.65,1,-44.639,0,"***","1990~2019
-4.86(-5.07~-4.65)***","1990~2019","-4.86 (-5.07~-4.65)","DALYs","Rate"
"Europe & Central Asia - WB",3,"Full Range",1990,2021,-9.35,-10.37,-8.31,1,-16.963,0,"***","1990~2021
-9.35(-10.37~-8.31)***","1990~2021","-9.35 (-10.37~-8.31)","DALYs","Rate"
"Europe & Central Asia - WB",3,"1990.000-1999.000",1990,1999,0.05,-0.81,0.91,0,0.117,0.908,"","1990~1999
0.05(-0.81~0.91)","1990~1999","0.05 (-0.81~0.91)","DALYs","Rate"
"Europe & Central Asia - WB",3,"1999.000-2009.000",1999,2009,-11.13,-12.08,-10.18,1,-21.586,0,"***","1999~2009
-11.13(-12.08~-10.18)***","1999~2009","-11.13 (-12.08~-10.18)","DALYs","Rate"
"Europe & Central Asia - WB",3,"2009.000-2019.000",2009,2019,-0.79,-2.26,0.7,0,-1.043,0.297,"","2009~2019
-0.79(-2.26~0.70)","2009~2019","-0.79 (-2.26~0.70)","DALYs","Rate"
"Europe & Central Asia - WB",3,"2019.000-2021.000",2019,2021,-59.06,-64.59,-52.67,1,-12.807,0,"***","2019~2021
-59.06(-64.59~-52.67)***","2019~2021","-59.06 (-64.59~-52.67)","DALYs","Rate"
"Europe & Central Asia - WB",3,"1990.000-2019.000",1990,2019,-4.24,-4.96,-3.5,1,-11.141,0,"***","1990~2019
-4.24(-4.96~-3.50)***","1990~2019","-4.24 (-4.96~-3.50)","DALYs","Rate"
"High SDI",2,"Full Range",1990,2021,-8.79,-9.24,-8.34,1,-36.642,0,"***","1990~2021
-8.79(-9.24~-8.34)***","1990~2021","-8.79 (-9.24~-8.34)","DALYs","Rate"
"High SDI",2,"1990.000-1999.000",1990,1999,-6.38,-6.63,-6.12,1,-49.182,0,"***","1990~1999
-6.38(-6.63~-6.12)***","1990~1999","-6.38 (-6.63~-6.12)","DALYs","Rate"
"High SDI",2,"1999.000-2009.000",1999,2009,-5.12,-5.33,-4.91,1,-46.761,0,"***","1999~2009
-5.12(-5.33~-4.91)***","1999~2009","-5.12 (-5.33~-4.91)","DALYs","Rate"
"High SDI",2,"2009.000-2019.000",2009,2019,-2.12,-2.54,-1.71,1,-10.39,0,"***","2009~2019
-2.12(-2.54~-1.71)***","2009~2019","-2.12 (-2.54~-1.71)","DALYs","Rate"
"High SDI",2,"2019.000-2021.000",2019,2021,-53.22,-56.47,-49.72,1,-21.751,0,"***","2019~2021
-53.22(-56.47~-49.72)***","2019~2021","-53.22 (-56.47~-49.72)","DALYs","Rate"
"High SDI",2,"1990.000-2019.000",1990,2019,-4.49,-4.71,-4.27,1,-38.802,0,"***","1990~2019
-4.49(-4.71~-4.27)***","1990~2019","-4.49 (-4.71~-4.27)","DALYs","Rate"
"High-middle SDI",4,"Full Range",1990,2021,-8.33,-9.05,-7.61,1,-21.74,0,"***","1990~2021
-8.33(-9.05~-7.61)***","1990~2021","-8.33 (-9.05~-7.61)","DALYs","Rate"
"High-middle SDI",4,"1990.000-1999.000",1990,1999,-5.66,-6.54,-4.77,1,-12.209,0,"***","1990~1999
-5.66(-6.54~-4.77)***","1990~1999","-5.66 (-6.54~-4.77)","DALYs","Rate"
"High-middle SDI",4,"1999.000-2009.000",1999,2009,-7.82,-8.22,-7.41,1,-36.21,0,"***","1999~2009
-7.82(-8.22~-7.41)***","1999~2009","-7.82 (-8.22~-7.41)","DALYs","Rate"
"High-middle SDI",4,"2009.000-2019.000",2009,2019,-4.74,-6.23,-3.23,1,-6.038,0,"***","2009~2019
-4.74(-6.23~-3.23)***","2009~2019","-4.74 (-6.23~-3.23)","DALYs","Rate"
"High-middle SDI",4,"2019.000-2021.000",2019,2021,-35.4,-40.27,-30.13,1,-11.705,0,"***","2019~2021
-35.40(-40.27~-30.13)***","2019~2021","-35.40 (-40.27~-30.13)","DALYs","Rate"
"High-middle SDI",4,"1990.000-2019.000",1990,2019,-6.09,-6.72,-5.46,1,-18.401,0,"***","1990~2019
-6.09(-6.72~-5.46)***","1990~2019","-6.09 (-6.72~-5.46)","DALYs","Rate"
"Latin America & Caribbean - WB",3,"Full Range",1990,2021,-8.35,-8.64,-8.06,1,-54.893,0,"***","1990~2021
-8.35(-8.64~-8.06)***","1990~2021","-8.35 (-8.64~-8.06)","DALYs","Rate"
"Latin America & Caribbean - WB",3,"1990.000-1999.000",1990,1999,-6.27,-6.57,-5.97,1,-42.737,0,"***","1990~1999
-6.27(-6.57~-5.97)***","1990~1999","-6.27 (-6.57~-5.97)","DALYs","Rate"
"Latin America & Caribbean - WB",3,"1999.000-2009.000",1999,2009,-4.53,-4.83,-4.23,1,-28.847,0,"***","1999~2009
-4.53(-4.83~-4.23)***","1999~2009","-4.53 (-4.83~-4.23)","DALYs","Rate"
"Latin America & Caribbean - WB",3,"2009.000-2019.000",2009,2019,0.3,-0.08,0.68,0,1.546,0.122,"","2009~2019
0.30(-0.08~0.68)","2009~2019","0.30 (-0.08~0.68)","DALYs","Rate"
"Latin America & Caribbean - WB",3,"2019.000-2021.000",2019,2021,-56.98,-58.69,-55.2,1,-43.342,0,"***","2019~2021
-56.98(-58.69~-55.20)***","2019~2021","-56.98 (-58.69~-55.20)","DALYs","Rate"
"Latin America & Caribbean - WB",3,"1990.000-2019.000",1990,2019,-3.44,-3.64,-3.25,1,-33.686,0,"***","1990~2019
-3.44(-3.64~-3.25)***","1990~2019","-3.44 (-3.64~-3.25)","DALYs","Rate"
"Low SDI",2,"Full Range",1990,2021,-5.59,-6.19,-4.98,1,-17.679,0,"***","1990~2021
-5.59(-6.19~-4.98)***","1990~2021","-5.59 (-6.19~-4.98)","DALYs","Rate"
"Low SDI",2,"1990.000-1999.000",1990,1999,-1.64,-2.26,-1.02,1,-5.407,0,"***","1990~1999
-1.64(-2.26~-1.02)***","1990~1999","-1.64 (-2.26~-1.02)","DALYs","Rate"
"Low SDI",2,"1999.000-2009.000",1999,2009,-3.57,-3.83,-3.3,1,-25.796,0,"***","1999~2009
-3.57(-3.83~-3.30)***","1999~2009","-3.57 (-3.83~-3.30)","DALYs","Rate"
"Low SDI",2,"2009.000-2019.000",2009,2019,-4.04,-4.36,-3.73,1,-26.027,0,"***","2009~2019
-4.04(-4.36~-3.73)***","2009~2019","-4.04 (-4.36~-3.73)","DALYs","Rate"
"Low SDI",2,"2019.000-2021.000",2019,2021,-34.85,-40.67,-28.47,1,-9.456,0,"***","2019~2021
-34.85(-40.67~-28.47)***","2019~2021","-34.85 (-40.67~-28.47)","DALYs","Rate"
"Low SDI",2,"1990.000-2019.000",1990,2019,-3.14,-3.43,-2.85,1,-20.973,0,"***","1990~2019
-3.14(-3.43~-2.85)***","1990~2019","-3.14 (-3.43~-2.85)","DALYs","Rate"
"Low-middle SDI",3,"Full Range",1990,2021,-7.3,-7.67,-6.92,1,-36.878,0,"***","1990~2021
-7.30(-7.67~-6.92)***","1990~2021","-7.30 (-7.67~-6.92)","DALYs","Rate"
"Low-middle SDI",3,"1990.000-1999.000",1990,1999,-4.96,-5.58,-4.33,1,-15.164,0,"***","1990~1999
-4.96(-5.58~-4.33)***","1990~1999","-4.96 (-5.58~-4.33)","DALYs","Rate"
"Low-middle SDI",3,"1999.000-2009.000",1999,2009,-3.71,-3.98,-3.44,1,-26.279,0,"***","1999~2009
-3.71(-3.98~-3.44)***","1999~2009","-3.71 (-3.98~-3.44)","DALYs","Rate"
"Low-middle SDI",3,"2009.000-2019.000",2009,2019,-5.4,-5.6,-5.19,1,-53.936,0,"***","2009~2019
-5.40(-5.60~-5.19)***","2009~2019","-5.40 (-5.60~-5.19)","DALYs","Rate"
"Low-middle SDI",3,"2019.000-2021.000",2019,2021,-38.08,-41.14,-34.87,1,-19.694,0,"***","2019~2021
-38.08(-41.14~-34.87)***","2019~2021","-38.08 (-41.14~-34.87)","DALYs","Rate"
"Low-middle SDI",3,"1990.000-2019.000",1990,2019,-4.68,-4.95,-4.42,1,-33.841,0,"***","1990~2019
-4.68(-4.95~-4.42)***","1990~2019","-4.68 (-4.95~-4.42)","DALYs","Rate"
"Middle East & North Africa - WB",3,"Full Range",1990,2021,-8.53,-9.15,-7.9,1,-25.413,0,"***","1990~2021
-8.53(-9.15~-7.90)***","1990~2021","-8.53 (-9.15~-7.90)","DALYs","Rate"
"Middle East & North Africa - WB",3,"1990.000-1999.000",1990,1999,-8.37,-9.12,-7.62,1,-22.231,0,"***","1990~1999
-8.37(-9.12~-7.62)***","1990~1999","-8.37 (-9.12~-7.62)","DALYs","Rate"
"Middle East & North Africa - WB",3,"1999.000-2009.000",1999,2009,-5.08,-5.74,-4.42,1,-15.56,0,"***","1999~2009
-5.08(-5.74~-4.42)***","1999~2009","-5.08 (-5.74~-4.42)","DALYs","Rate"
"Middle East & North Africa - WB",3,"2009.000-2019.000",2009,2019,0.76,-0.08,1.6,0,1.779,0.075,"","2009~2019
0.76(-0.08~1.60)","2009~2019","0.76 (-0.08~1.60)","DALYs","Rate"
"Middle East & North Africa - WB",3,"2019.000-2021.000",2019,2021,-53.47,-57.46,-49.11,1,-17.763,0,"***","2019~2021
-53.47(-57.46~-49.11)***","2019~2021","-53.47 (-57.46~-49.11)","DALYs","Rate"
"Middle East & North Africa - WB",3,"1990.000-2019.000",1990,2019,-4.16,-4.59,-3.73,1,-18.584,0,"***","1990~2019
-4.16(-4.59~-3.73)***","1990~2019","-4.16 (-4.59~-3.73)","DALYs","Rate"
"Middle SDI",3,"Full Range",1990,2021,-7.64,-7.97,-7.31,1,-43.664,0,"***","1990~2021
-7.64(-7.97~-7.31)***","1990~2021","-7.64 (-7.97~-7.31)","DALYs","Rate"
"Middle SDI",3,"1990.000-1999.000",1990,1999,-5.65,-6.03,-5.27,1,-28.164,0,"***","1990~1999
-5.65(-6.03~-5.27)***","1990~1999","-5.65 (-6.03~-5.27)","DALYs","Rate"
"Middle SDI",3,"1999.000-2009.000",1999,2009,-3.49,-3.69,-3.29,1,-35.682,0,"***","1999~2009
-3.49(-3.69~-3.29)***","1999~2009","-3.49 (-3.69~-3.29)","DALYs","Rate"
"Middle SDI",3,"2009.000-2019.000",2009,2019,-4.78,-5.31,-4.24,1,-16.999,0,"***","2009~2019
-4.78(-5.31~-4.24)***","2009~2019","-4.78 (-5.31~-4.24)","DALYs","Rate"
